No.,Nama Instagram,Tweet,Sentimen,Sarkas,Sentimen_Sarkas
253,@26cc.l,"""DIKASIH BIDADARI MAUNYA BONEKA SANTET""",-1,,-1
254,@lidiii.lyy16,"""Ilang respect gue.. padahal jane udh setia bgt sama lu, tapi lu nya main cewe pas udh keluar dri penjara.. lol""",-1,,-1
255,@frdriko_,"""Hapus ajh ni poto ngk tau malu bgt lu bang""",-1,,-1
256,@izgraphic,"""Intinya gasuka ajg selama ada listy . Ngrusak suasana""",-1,,-1
257,@agrapranaaaaaa,"""Di foto ini ada 2 anjing dan 1 kontol""",-1,,-1
258,@bilqissiee,"""kasian banget Jane udah nunggu keluar penjara eh taunya :), waw sakit siih""",-1,,-1
259,@candrwijya,"""Puny cewk baik di selingkuhin g ngotak""",-1,,-1
260,@yusuf_rafi20,"""Inget yg di potong itu masalah nya bukan hubungan nya, tapi kalo udah gini sembeleh aja orang nya :) udah terlanjur kecewa""",-1,,-1
261,@shinlamanepa,"""Ini buat konten.. masa putus foto tabi sama jessica engga dihapus ?""",1,Sarkas,-1
262,@ajilpoo_,"""Tiap mau makan dibikin ama jess tpi malah…. haha gila sih""",1,Sarkas,-1
263,@frdriko_,"""Parah lu bang nama lu udh rusak karna narkoba malah nambah masalah ajh truss""",-1,,-1
264,@guardo_purbaa,"""Ini anjing Kok mirip ya sama Erick""",-1,,-1
265,@_ilhammputra,"""Muka Pas""an sok sok an mau sm lonte lo anjing""",-1,,-1
266,@keylanamira01,"""Lu sama anjingnya, lebih baik anjingnya""",-1,,-1
267,@jeremyya_,"""IH ADA BABI JGN MEGANG TUH ANJING HARGA DIRINYA LEBIH TINGGI DRIPADA LO""",-1,,-1
268,@lukmanul.16,"""Santuy aja bang ga usah di tanggepin,btw gw suka gaya lo""",1,Sarkas,-1
269,@allyv_zkrri,"""Narkoboy kontol, Cuma bisa maen cewe sama nyakitin doang lu anjing, mati aja lu bego""",-1,,-1
270,@kirananti1,"""TETEP PENJARA AJA AJG NYUSAHIN LO KELUAR""",-1,,-1
271,@hijabmurah.reseller,"""cewe cakep, setia kok disia sia in sahabat""",1,Sarkas,-1
272,@lesyaarr,"""loh kok ak liatnya anjing semua yaa""",-1,,-1
273,@dian.iswr,"""Anjingnya ada dua kok guys, tapi kok lagi satu gue liat ada babi item""",-1,,-1
274,@_mang_agus_,"""Mantan Anjing, eh kebalik anjing mantan""",-1,,-1
275,@niko_panji.bp,"""Bikin skandal karena kepengen tenar?""",-1,,-1
276,@ferdiikun,"""Kukira kehadiranmu akan menjadi sesuatu kebanggaan, ternyata tidak""",1,Sarkas,-1
277,@RZIKIILHAM568,"""Njir meskipun udh lama nih poto di post tapi masih banyak yg komen baru2""",1,Sarkas,-1
278,@nisauliaaa._,"""kesini cmn mo liat komen aja""",1,Sarkas,-1
279,@_nia_zzhh,"""Foto di upload nya 20 maret yang comment 1 jam 2 jam 3 jam yg lalu""",1,Sarkas,-1
280,@callme__riska26,"""astaga masih pagi dibikin ngakak ama komenan netijen yg ngmng suka bener""",1,Sarkas,-1
281,@kepo.luanjng_,"""Dah lah. Gw capek baca komen kalian""",1,Sarkas,-1
282,@randy.bm_,"""Wiii anjay kapan lagi liat babi megang 2 anjing""",-1,,-1
283,@vrtma24,"""Ini adalah foto babi sedang memeluk anjing yg pemilik nya adalah bidadari""",1,Sarkas,-1
284,@cyr.yra,"""Babi g pantes nyentuh anjingnya bidadari, nanti kotor.""",-1,,-1
285,@liviarmdhy,"""SESAMA BINATANG FOTO BAIK BAIK YA""",1,Sarkas,-1
286,@nayyx_ra,"""potret seorjing memegang anjing kwkw""",-1,,-1
287,@fckngmelowedtz_,"""HEH UDH NAPA HATE NYA CAPE GW BACA NYA""",1,Sarkas,-1
288,@orangejusi,"""WADUH MALAH LEBIH GANTENG ANJINGNYA. EH EH BAHKAN LU GA PANTES DISEBUT ANJING. ANJING KAN SETIA PANTESNYA SIH BABI HAHAHAHA""",-1,,-1
289,@biancapratiwi_,"""kalo lomba sama""an sm babi, babi nya nmr 2""",-1,,-1
290,@eulisriskasbla,"""Si anjing ketika berfoto dengan si anjing""",1,Sarkas,-1
291,@alyafdhlh_,"""Kak jessica yg nungguin+setia sm kk loh pas ad masalah kmrn. Tapi kk ga ngehargain malah lbh milih yg d sono""",1,Sarkas,-1
292,@paris.saintjerman,"""erikontolim manusia babi anak lonte""",-1,,-1
293,@alshvfdl,"""HARGAILAH HATI WANITA YANG UDH TULUS NEMENIN LO DARI 0!!!""",-1,,-1
294,@umawww_,"""Tapi bagus sih erick mutusin Jessica ya karna Erick kelakuan ny begituu coba liat Jessica""",1,Sarkas,-1
295,@immjeafhlvi_,"""Anjing sekarang hebat ya, bisa pake kacamata""",1,Sarkas,-1
296,@syafafalasifah,"""Sdh lh nasi udah jdi bubur ga bisa lagi dibentuk kek semulaaa""",1,Sarkas,-1
297,@ferdiikun,"""Kukira kehadiranmu akan menjadi sesuatu kebanggaan, ternyata tidak""",1,Sarkas,-1
298,@raihan.kh,"""Ada 3 Ajg Dan Yg Punya Tato Bener2 Ajg""",-1,,-1
299,@epannalzz,"""dasar orang tua gada akhlak,ngajarin anaknya yang ga bener""",-1,,-1
300,@kvnsktta,"""Erik kenapa sih? Ada yang bisa jelasin gw ga update soalnya.. maap2""",1,Sarkas,-1
301,@gilbert_gotardo,"""Eh jangan dekat dekat sama anjingnya ci Jessica gua lempar lu""",-1,,-1
302,@leonardis445,"""guys dr pd comment2 mending unfoll sm unsubscribe aja yaa""",-1,,-1
303,@qnfkn,"""Babi lagi main ma anjing :)""",-1,,-1
304,@njums_0101,"""Dikasi BIDADARI MALAH PILIH BABI""",-1,,-1
305,@abrxrr,"""Postingan pertama jg dihujat dong gila netijen""",-1,,-1
306,@mosessavero_,"""BARU KALI INI LIHAT ANJING SAMA BABI BAIKAN…""",-1,,-1
307,@kgaadanamany,"""Dikasih bidadari malah milih setan""",-1,,-1
308,@amytwbw_y4to3hand,"""Padahal gw g mau benci ama lu bro, tpi ada aja tingkah lu yang melenceng:(""",-1,,-1
309,@nnunnoadrn_,"""SIKAP MU LEBIH NAJIS DARIPADA LUDAH ANJING!""",-1,,-1
310,@RZIKIILHAM568,"""Njir meskipun udh lama nih poto di post tapi masih banyak yg komen baru2""",1,Sarkas,-1
311,@nisauliaaa._,"""kesini cmn mo liat komen aja""",1,Sarkas,-1
312,@mhmmdtaufik_7,"""Buset hate comment ampe postingan paling bawah""",-1,,-1
313,@_nia_zzhh,"""Foto di upload nya 20 maret yang comment 1 jam 2 jam 3 jam yg lalu""",1,Sarkas,-1
314,@hamdiham_71,"""Pantes banyak utang buat bayar lonte""",-1,,-1
315,@im.timothy_,"""2 3 tutup botol muka lu kek kontol wkwk""",-1,,-1
316,@callme__riska26,"""astaga masih pagi dibikin ngakak ama komenan netijen yg ngmng suka bener""",1,Sarkas,-1
317,@kepo.luanjng_,"""Dah lah. Gw capek baca komen kalian""",1,Sarkas,-1
318,@filsiyiii,"""Keliatan bgt anjingnya ketakutan foto sama dakjal""",-1,,-1
319,@andrydhstywn,"""Astaga ngehujat sampe postingan paling bawah""",-1,,-1
320,@suka.prihatin,"""Lebih najis elu daripada anjing!""",-1,,-1
321,@reandraalkautsr_,"""2 ekor anjing dan satu buaya makan jambut""",-1,,-1
322,@ramdhn._.n,"""Kalo disuruh melihara anjing/eric gw pilih anjing aja meski Najis tapi lebih najisan erick kontol""",-1,,-1
323,@rakaakmaall,"""Ngapain si pada ngejudge? Mikir dulu lah dia putus juga sebelum kejadian itu tolol""",-1,,-1
324,@rikaas0805,"""Hargai wanitamu dia didekati banyak pria tetapi tetap memilihmu""",1,Sarkas,-1
325,@_raibaru19,"""Ternyata sipat anjing bukan hanya ada di anjing doang ya,di manusia sipat anjing juga ternyata ada""",-1,,-1
326,@rafaelardan_,"""Potret ketika anjing poto dengan setan""",-1,,-1
327,@ananddmanangkasi,"""BANTU BEDAINN WOYY MANA ANJING MANA BABI""",-1,,-1
328,@aji_0310,"""Udaah woii udahh lu gak kasihan apa…. Aku capek ngelike komenan kalian""",1,Sarkas,-1
329,@gudlukinhmn,"""3 anjing 1 anjing berwujud manusia, 2 anjing asli tak ada perwujudan aowkwkw""",-1,,-1
330,@trishapermata,"""Kasian gue sama anjingnya dipegang dajjal""",-1,,-1
331,@rizal.saputraa_,"""Kasian anjing nya di pegang babi""",-1,,-1
332,@boyvoyej,"""Lo itu kontol gak guna ajg anak dakjal""",-1,,-1
333,@hydir.syptra_24,"""mukak lu lebih buruk daripada anjing lu""",-1,,-1
334,@ganimhermawan,"""dikasi yang bening malah milih yang dakian""",-1,,-1
335,@dhirgalambe,"""Mending masuk penjara lagi aja dah seumur hidup""",-1,,-1
336,@deksiyan_,"""Kok lbih lucu anjingnya ya ktimbang orangnya""",-1,,-1
337,@ninini.nt,"""Akhirnya jesica bisa lepas dari kambing hitam ini""",-1,,-1
338,@rayyan11079,"""Maafin Aja Bro Semua Orang Pasti Ada Kesalahan Dia Juga Pasti Ada Kesalahan Nasehatin Aja Siapa Tau Dia Berubah""",1,Tidak,1
339,@delvyanawuu,"""Kasian anjingnya dipeluk sma sampahh""",-1,,-1
340,@nico_muhammad99,"""Gua kira keluar dari PENJARA bisa berubah""",-1,,-1
341,@nyanya6300,"""Cintamu hanya sebatas kertas wkwkw enteng bang""",1,Sarkas,-1
342,@shashaan_,"""Padahal sejak dia sama Jane aku lebih respect :( skrg bener2 udah hilang respect :(""",1,Sarkas,-1
343,@moonicagstt,"""udah nemenin dari masa tersulit lo pas udah keluar malah selingkuh, ga nyangka idola gua sesampah itu.""",-1,,-1
344,@meidika29500,"""Dihujat habis""an semua postingan lama ada komen baru wkwk""",-1,,-1
345,@eeeannisa,"""Gua gabisa bedain mana anjing mana manusia, keliatannya sama""",1,Sarkas,-1
346,@_abiyyuatha,"""Lu mirip anaknya kick andy yg namanya marlo bang""",1,Tidak,1
347,@gevin.reski,"""Kenapa ada orang baik ? Karna ada orang jahat""",1,Sarkas,-1
348,@elgistazmn,"""Ngga ada niatan ngadain pengajian gitu bang?""",1,Sarkas,-1
349,@destiatnrr_,"""Suka banget sama rambutnyaa tambah ganteng""",1,Sarkas,-1
350,@seedflyy,"""@abatartila Ada ada aja kaya gini di bilang king, king muke nya udh kaya tai musang""",-1,,-1
351,@lanzx.ml,"""Ninggalin berlian demi tai babi dih""",-1,,-1
352,@hafizdonjuan,"""ganteng kaga lu begitu malah keliatan kaya daki kontol""",-1,,-1
353,@aliffprmanaa,"""Mukak lo kayak tapir kuda asu sok ganteng banget lo""",-1,,-1
354,@anjuketaren,"""Banyak yg kecewa karena lu begini rik!!!!""",-1,,-1
355,@maymichelle99,"""Maap ye…muke lu udh jelek kaga usah sok selingkuh,cakepan anjing gua noh""",-1,,-1
356,@ekoxapriyanto,"""Apa si hebatnya banci yg badannya penuh koreng kaya lo""",-1,,-1
357,@zorgiansyah,"""Gini dong bersihan kaga kek tahun tahun sebelumnya dekil""",-1,,-1
358,@anisazaharaf,"""Muka lu keriput kek aki aki""",-1,,-1
359,@wijaya_stanleyp9,"""Foto jelek dihujat, foto ganteng dibilang sok ganteng""",-1,,-1
360,@rejabiann,"""kebanyakan nyabu jadi kurus lu""",-1,,-1
361,@robilmlna,"""NARKOBOYY NGELUARIN LIDAHH, AJG MAU APA, MAU TES URIN""",-1,,-1
362,@evan_01_,"""Fotolu pede anjrit muka lu tu anjrit""",-1,,-1
363,@ahmd_yahdi,"""Hidup itu jngn keterlaluan boss playboy amat ajg luu""",-1,,-1
364,@xxyszx,"""Mukalu kek aktor bokep bgst mending ngobat aja luu""",-1,,-1
365,@regitaaeh,"""dah jelek semangattt pulak WKWK""",1,Sarkas,-1
366,@retfyfiani,"""Muka nya kok gitu, seren bikin mual liatnya""",-1,,-1
367,@riotw35,"""Sana anjing ngewe ama lonte bangsat""",-1,,-1
368,@squad_nihh_boss_official,"""Muka kek kontol mending di penjara""",-1,,-1
369,@adeliaa_azka,"""muka kek banci dih najis""",-1,,-1
370,@nandadzrizkia,"""Ntar Mati dalam keadaan konyol""",-1,,-1
371,@lrp_by_nexttime,"""mau bilang jelek nya ga enak hehe …""",-1,,-1
372,@aowkaowkaowk__,"""Idihhhhh pantesan aja foto nya keluarin lidah kyk gtu. Trnyata tukang jilat…""",-1,,-1
373,@your667_,"""NIH ORANG KALO LOMBA MIRIP BABI,BABINYA JUARA 2""",-1,,-1
374,@farahh.fh,"""Titisan dakjal emg lo nyet""",-1,,-1
375,@nrsuciwss2,"""Et muka lu aje gitu dih hahaha. Biarin aja sampah ketemu sampah biar busuk bersama""",-1,,-1
376,@frdtias_,"""Jijik astagah sok bat cakep njs""",-1,,-1
377,@duba_ng,"""Bully an di ig lebih ngeri daripada di fb ajg gua jadi ngerii! Ajgg",-1,,-1
378,@arshylaaa,"""udah buriq brengsek pula pantes aja dapet lonte""",-1,,-1
379,@yasn.a692,"""MUKA KAMPUNG GAYA SOK SOAN KOTA NYET""",-1,,-1
380,@gudlukinhmn,"""Ngapa lidah Lo stroke amin deh kalau gtu""",-1,,-1
381,@gudlukinhmn,"""Ciah dihujat 1 Indonesia jangan sampe bunuh diri ya komtoll kami blom puas nguat kauuu""",-1,,-1
382,@ms.rquell,"""Org kampung otak dusun gaya sosoan hype. Ttep aja gabisa nutupin muka babu lu.""",-1,,-1
383,@fatimahhss1128,"""Cowo foto liatin lidah nya jam ah jijik gue. Apa lagi minus akhlak kek gini""",-1,,-1
384,@noverinaparticia10,"""ANJING gue jg ogah liat muke lu""",-1,,-1
385,@azzahrariyaanni,"""G bole melet dosaa rik""",-1,,-1
386,@mel.echan,"""paan melet melet mau jilat tai tabi?""",-1,,-1
387,@nikhtavani,"""Setan emg melet2 teross jijik asuuu""",-1,,-1
388,@anggi.bharuddin,"""ni anak lahir krna kondom bocor.. ga ada rasa syukur muka kyk selangkangan gorilla dpt cewe cntik kyk jessica setia dll malah di sia2in bgsad""",-1,,-1
389,@abdurahmanshq,"""yang aku suka dari dia adalah selalu cukur jembut sebelum manggung""",-1,,-1
390,@lilianaameera,"""Muka kek slangkangan biawak aje bnyk blagu lu""",-1,,-1
391,@lennyliando,"""Ibu kamu cantik ya? Pantesan anaknya kyk gini modelannya""",1,Sarkas,-1
392,@ghy.14,"""Kamu emang cocoknya jadi pengusaha kuliner udah fixs. Semoga lancar terusssss""",1,Sarkas,-1
393,@octaviandiajeng,"""Ini diedit biar langsing padahal mah klo live bomber badannya""",1,Sarkas,-1
394,@__yohanatan__,"""Bagusan foto pakai masker drpd gak pakai masker""",1,Sarkas,-1
395,@reniaulia225,"""Kok anaknya kayak udah tua gitu ya mukanya kk tasya""",1,Sarkas,-1
396,@aii_rinz95,"""Gila suara lu udah bagus mel, tinggal lu pake skincare aja anjayy""",1,Sarkas,-1
397,@_goshop24,"""Ka mel gausah merendahkan orang lain. Bersyukur aja diatas langit juga masih ada langit lagi""",1,Sarkas,-1
398,@yustinushw,"""Sumpah sih jahat banget. Bener2 kasian sama kak jessica""",-1,,-1
399,@wibimaulana7,"""Anjing gk pantes sama bidadari.""",-1,,-1
400,@olivesiahaan_,"""MELET MULU SETAN KAYA ULAR""",-1,,-1
401,@joxaeline,"""Njr melet melet gw kirain hewan""",-1,,-1
402,@aaurellp,"""Gtu aj dh kek anjg lo kang""",-1,,-1
403,@charlespontoh75,"""Gw kesini pengen liat babang ini.. Sumpah feeling gw bener.. Mirip banget ama Reynhard Sinaga""",1,Sarkas,-1
404,@hadafajri,"""Ih ko melet2 si kaya hewan aja wkwkwkwk""",-1,,-1
405,@chellolix,"""Iuu milih iblis drpd bidadarii kwkwkw jyjyq""",-1,,-1
406,@_sugarr_babyy,"""MELET2 UDAH KAYA ANJING, EH KAN EMAH ANJING""",-1,,-1
407,@beejr1425,"""ga nyadar aja nih sampah HAHA""",1,Sarkas,-1
408,@chindyylls,"""Lidah banyak kuman and virus nih""",-1,,-1
409,@arga_kncn,"""Awalnya ngira baju endorse dari KFC, mirip '-'""",-1,,-1
410,@mas_eng37,"""GUA MAU LO TERUS BERKARYA , PERBAIKI, TINGGALKAN YG NEGATIF , TIDAK ADA KATA TERLAMBAT , TTP JADI ORANG YG HEBAT DAN SELALU BAHAGIA @xrickolim""",1,Tidak,1
411,@mhmd.rfly24,"""Cita cita ingin jadi pakboi , eh tapi malah jadi narkoboy nasib-nasib""",1,Sarkas,-1
412,@onelsrjy,"""Napa lu balik dari penjara sih?""",1,Sarkas,-1
413,@tinox___xx,"""Mending lu pada tobat dah""",1,Tidak,1
414,@regitaaeh,"""selama dipenjara apalo sikat gigi? KOK BAU YA, BAUBAU AROMA BANGSATTTT""",-1,,-1
415,@vallz_12,"""Gigi lo ada apanya? Jigong? Atau kondom nya nyangkut?""",-1,,-1
416,@cxxrloo,"""ih mukanya kek anjing rumah gwa""",-1,,-1
417,@pufftlm,"""woi anak anjing ngapain lu hidup bgst""",-1,,-1
418,@ppendjol,"""Udah jelek gak usah d jelek2 in lagi bro""",-1,,-1
419,@dian_pramana24,"""Ganteng kagak berbakat juga kagak kelebihannya dimana cobak?""",1,Sarkas,-1
420,@ayumeiaa,"""Benci aja Ama orang jelek pake selingkuh segala""",-1,,-1
421,@cal1s_,"""Udah tutup mulut nya bau kambing""",-1,,-1
422,@bram_reza,"""Jualan jualan knp ngga jadi yutuber lagi bro takut ngga ada yg nntn yah""",-1,,-1
423,@brandyy_26___,"""Kayak Randy Pangalila klo gk pake kacamata""",1,Tidak,1
424,@farhaadeliasiregar,"""Entah knp liat muka BG Eric sekarang kaya enak gitu .. dari pada yg dulu""",1,Tidak,1
425,@amv.seninjashu,"""Apa ganteng nyasih anjing.. Kucel gini jadiin model""",-1,,-1
426,@cxxrloo,"""keknya dia ngeliat masa depan yang hancur deh""",-1,,-1
427,@fhrntsy,"""INGETT HIDUP LO DULU GA SEENAK INI RIKKK. HIDUP LO SUSAH!!!! SALAM TEMEN SMP PAS LO BURIKKK. EH SKRG SAMA AJA""",1,Sarkas,-1
428,@benie_dermawan,"""Yaaaa yaaa kalo liat muka nya sumpah ngeselin banget dah….oprasi dulu sono..biar gantengan dikit.. Dan kalo jln ke mall gk di kenal orng.""",-1,,-1
429,@aralinaphee,"""dia ini siapa sih??? Artis bukan, jelek mah iya mukanya iyuhhh""",-1,,-1
430,@asbdidjdk,"""Ini bukan era lo lagi, mending lo mati aja babi. Kalo baca bales nyet""",-1,,-1
431,@rksalfiansyah_,"""Saya segenap hati minta maap""",1,Tidak,1
432,@aardyyyy,"""Dulu Bahagia Sekarang Banyak Utang""",-1,,-1
433,@holiaulabenn,"""Harus lebih maju berkelas rik!! Ga jamannya lg toxic dan ga beraturan.. build sistem!! You will be BIG""",1,Tidak,1
434,@ramadhanap__,"""editan sama konsepnya nice banget lahhh""",1,Tidak,1
435,@mchll.ra,"""iri kok sama babi hahah najis""",-1,,-1
436,@rulyysetiawan87,"""LO YANG DULU BUKANLAH YANG SEKARANG DULU KAYA ANJING SEKARANG KAYA BABI""",-1,,-1
437,@gadiiiiisssss,"""Jelek aja tukang selingkuh lo buriq !""",-1,,-1
438,@nikitadmynti.s,"""kok kalian komennya pada kek gini ya""",1,Sarkas,-1
439,@keyzha.anindia,"""Rick lu tuh jadi manusia kek gk ada gunanya lu dilahirin kedunia untuk berbuat baik, sayang nya lu ngecewain org lain gimana mo masuk surga""",1,Sarkas,-1
440,@naufal_fadillah.20,"""Kalian kaloga cocok mau di paksain?""",-1,,-1
441,@gideonadi.1st,"""ya biarin @xrickolim kita gatau gimana aslinya masa kalian semua ambil keputusan sepihak?kalo udah takdir gaada yang bisa nentang njir""",1,Tidak,1
442,@afrianyriz_,"""Cocok kok, emang orang baik mah buat org baik, kalo yg bejat mah emang cocok buat yang bejat juga ehehe""",1,Sarkas,-1
443,@rzqimuln__,"""ERICK GOBLOK,MALAH PACARAN AMA LONTE ANJ,SO BAT""",-1,,-1
444,@annisachaan_,"""Cocok banget sama2 orang gak bener biar lah dia hancur bersama""",-1,,-1
445,@xrygirlz,"""EH KEK ADA PENAMPAKAN LONTE""",-1,,-1
446,@mhmmdfarrel21_,"""Meninggalkan berlian demi Tai Sapi""",-1,,-1
447,@rzkychdra_,"""Ini bukan era lo lgi, wkwkw skrng lo penuh dengan cacimaki, telen ludah sendiri""",-1,,-1
448,@fanzz14_,"""Pantes disini mulainya si ajg berulah""",-1,,-1
449,@gritlechan02,"""Open BO ga bang si listy? Kebetulan ada om-om yg nyari cwe yg udah pengalaman!!!!""",-1,,-1
450,@_leean3,"""Buah nangka buah kemanggi gak ada akhlak lu babi""",-1,,-1
451,@kntl0_0,"""Perlahan karirmu ancur bro dan lu akan kembali kebawah""",-1,,-1
452,@kristin26_,"""Biarkan @sk69official bangkrut aja. CEO nya gatau terimakasih haha""",1,Sarkas,-1
453,@dadidawww__,"""ngapain juga nginap di rumah cowo, gaada keluarga lg lo?""",1,Sarkas,-1
454,@dhifi_3,"""Eh ada pelakor, pas banget frame ke tiga, orang ke 3""",-1,,-1
455,@xdebyy23,"""Anak gblk dikasi berlian malah milih kerikil""",1,Sarkas,-1
456,@ldydna_,"""Dikasih bidadari malah milih dajjal awokawok:v""",-1,,-1
457,@teamlistychan,"""Jangan cuman bisa ngehina Dong Sadar Kalian Itu Ga sempurna sama kaya kami""",1,Tidak,1
458,@ndysan,"""Kesihan gue sama org otak dangkal kek gini""",-1,,-1
459,@_nanellchaan,"""Murahh banget lo jijik gue …. Dikick EVOS mlah open BO""",-1,,-1
460,@hfizdonjuan,"""senengnya sekali nyesel nya seumur hidup, miris banget hidup lu tolol meninggalkan berlian yang indah dipandang dan di sayang demi segumpal tai kucing""",-1,,-1
461,@callmehanif_,"""Indahnya pemandangan banyak LonT lonT mau di jual""",-1,,-1
462,@jeihanfatiya,"""bidadari sudah ditunjukan , bahwa mmg g pantes sma dajjal g tau diri""",1,Sarkas,-1
463,@christimrbn._,"""siapapun tolong kasih tau aku ini masalah nya apaa gais""",1,Tidak,1
464,@mylndll_,"""dikasih hati yg malaikat milih yg berhati iblis greget:(""",1,Sarkas,-1
465,@hvo.id,"""Di kasih bidadari malah pilih kotoran""",1,Sarkas,-1
466,@owengbrl,"""Dikasih bidadari malah minta lonte""",1,Sarkas,-1
467,@apaaja3181,"""Gajadi beli Model murahan barang pasti murahan""",-1,,-1
468,@idoyalam,"""Modelny aja murahan apalagi barangnya""",-1,,-1
469,@enaknyaja,"""muka macem pengamen gegayaan selingkuh, untung udh ga sm jane lg, kebanting sm jane muke lu""",-1,,-1
470,@pebriiidhyn,"""Males beli gua,gara gara ada lonte""",-1,,-1
471,@aldiazz_mp,"""Padahal bulug gini ya mukanya.. ehh,, maaf..""",-1,,-1
472,@zhrmldiaa_,"""Padahal cantikan jessica kemana mana""",1,Tidak,1
473,@ashha._,"""Dikasih bidadari malah milih sampah""",1,Sarkas,-1
474,@inxxzrbc,"""yaelah muka pas""an aja bangga lu njing""",-1,,-1
475,@bubblecndyy,"""Wah ibarat lebih milih iblis daripada bidadari haha""",1,Sarkas,-1
476,@ohh_alah,"""@rangga_kanahaya knp gk truck sampah, kek mukanya sampah""",-1,,-1
477,@cep.juned,"""Gajadi beli, takut ketularan lonte nya""",-1,,-1
478,@abigailfrnt,"""hanya bisa melihat hujatan klean kasian si listy kontrak nya d copot , di hujat memang dunia sgt kejam""",-1,,-1
479,@ken_prohd,"""Jangan beli baju lonte entar kena sial""",-1,,-1
480,@kecoakgemoi._,"""Dasar cewe lo itu LONTE tau kau!""",-1,,-1
481,@levinanj,"""Disini pada kenapa dah? Aku gapaham tolong""",1,Sarkas,-1
482,@angelicaangel______,"""Itu ditengah manusia apa monyet kok kulitnya bercorak batik""",-1,,-1
483,@aditmg04,"""Muka lu sama anjing gwe..lebih ganteng anjing gwe rik""",-1,,-1
484,@fad_wolfie,"""Buat kalian para pens lonte jgn tkut listi Miskin krna dipecat, krna dia bsa kaya lgi, dgn cara ya nglonte""",-1,,-1
485,@elirahma7,"""Etdah ninggalin yang baik demi lonte, situ waras mas wkwk""",-1,,-1
486,@annafrrozen,"""Gw melihat cewek murahan di postingan ini""",1,Sarkas,-1
487,@xrnggaty__27,"""yang kedua dari sebelah kanan itu batik apa orang dah? kok warna nya kek taek ga si?""",1,Sarkas,-1
488,@rahmahakya,"""Ih ko muka jelek banget siii serem kek setan""",-1,,-1
489,@dzlsmnaa,"""Itu yang foto ketiga jablay murahan bukan?""",-1,,-1
490,@gadiiiiisssss,"""Jelek aja tukang selingkuh lo buriq !!!!""",-1,,-1
491,@mvq024,"""Emang kalian se suci apa sampai nghina dia segitu nya""",1,Tidak,1
492,@yudiansyah_anggara,"""Mending yang follow pada unfollow Udeh gausah ribet""",-1,,-1
493,@ravi18dihan_,"""Dekil tatoan, mampus karir Lo hancurr pantek""",-1,,-1
494,@hikmahauliasari_01,"""Udah ada berlian malah milih batu nisan""",1,Sarkas,-1
495,@lilac_loversss,"""Alasan setan ama setan, KARNA KALO SETAN SAMA BIDADARI, SAYAPNYA RONTOK, DICEKER, DIGIGIT, DIJAMBAK2""",-1,,-1
496,@viukorean,"""Lagian juga Erick gak ada akhlak jelek lagi Listy juga jelek""",-1,,-1
497,@haeyraa_,"""Setan ma setan mahh emg cocokk udee""",-1,,-1
498,@mochzakin,"""Lonte kurus pucet kek mayat hidup""",-1,,-1
499,@maulna_adnan,"""Itu muka apa tutup panci wkwkekek jelek nya ampe ke ubun ubun""",-1,,-1
500,@govinda_hutasoit,"""@xrickolim smngat trus bro tiada manusia yg sempurna kmu pasti bisa bangkit n jadi lebih baik GBU keepstrong""",1,Tidak,1
501,@rizkibryn_,"""bego anak orang udah ga perawan noh gara"" lu wkwkw""",-1,,-1
502,@renaldiode_93,"""Frustasi..Sudah habis uangnya..Kasihannn""",1,Sarkas,-1
503,@naufal.apta7,"""Bro buat lu pada yg ngehujat erick tpi masih punya masala sendiri jangan sok keras""",1,Tidak,1
504,@kiy12456,"""Semangat Rick untuk usaha barunya""",1,Tidak,1
505,@murtiani940,"""Hadehh muka kaya tong sampah .""",1,Tidak,1
506,@bengkulu__kocak,"""banyak banget omongan kasar disini, tobat lah kawan kawan.. cukup comment kasar nya""",-1,,-1
507,@joy81shop,"""Ni org jelek ga ada obat.kok jj mau liat apa ya..""",1,Tidak,1
508,@habibiwijaya_,"""Semangat bang, walaupun banyak orang yang ngejudge lu. Jangan peduliin mereka""",1,Tidak,1
509,@tinushanstats,"""Tuhan yesus baik semangat rick""",1,Tidak,1
510,@edwin.afr,"""Jangan di bales komen hate bang bikin sakit jempol, mending lanjut berkarya:)""",1,Tidak,1
511,@okkybray,"""Eh lo nyadar ga ? Udah dekil terus tatoan, jadi nya kaya daki haha""",-1,,-1
512,@aimdumb,"""jelek dapet selingkuhan jelek juga keren yaa imbang wkkw""",-1,,-1
513,@galangnusantaraputra,"""Wah ngehina fisik ni orang,ga bener ya wkwkwkwk""",-1,,-1
514,@anggariskyananda,"""BUNUH DIRI LAH SONO GOBLOX""",-1,,-1
515,@yayanmulyana__,"""Sabar semua komentar ini ujian""",1,Tidak,1
516,@andhikaprat_,"""Santai rick yg ngehujat lo belom tau perjalanan hidup lo aja! Mereka hanya sok suci!""",1,Tidak,1
517,@real_sya9818,"""Yang sabar yah,tetep semangat ngejar karirnya jangan dengerin kata orang mereka Cuma bisa ngebacot di komen doank""",1,Tidak,1
518,@kennjiii_077,"""Erick masuk neraka jalur selingkuh bos""",-1,,-1
519,@plugstamp,"""Trs berkarya walaupun brd di titik sprti ini""",1,Tidak,1
520,@dfaayzaqp,"""Stop lah ngatain orang lain lu pada itu yg ngatain orang lain ngaca dlu sebelum ngatain kayak suci aja hidup lu pada""",1,Tidak,1
